"date","mun_code","mun_name","tests","cases","population","cases_per_100K"
2020-04-21,153,"Brøndby",832,103,35397,291
2020-04-21,155,"Dragør",279,23,14270,161
2020-04-21,157,"Gentofte",1702,184,75176,245
2020-04-21,159,"Gladsaxe",1665,176,69681,253
2020-04-21,161,"Glostrup",640,100,22615,442
2020-04-21,163,"Herlev",698,78,28786,271
2020-04-21,165,"Albertslund",738,94,27877,337
2020-04-21,167,"Hvidovre",1407,181,53416,339
2020-04-21,169,"Høje-Taastrup",1017,109,50686,215
2020-04-21,173,"Lyngby-Taarbæk",1272,108,55790,194
2020-04-21,175,"Rødovre",950,100,40052,250
2020-04-21,183,"Ishøj",514,64,22946,279
2020-04-21,185,"Tårnby",898,67,42984,156
2020-04-21,187,"Vallensbæk",416,70,16654,420
2020-04-21,190,"Furesø",864,57,41069,139
2020-04-21,201,"Allerød",486,20,25646,78
2020-04-21,210,"Fredensborg",809,34,40819,83
2020-04-21,217,"Helsingør",1382,93,62567,149
2020-04-21,219,"Hillerød",1080,76,50998,149
2020-04-21,223,"Hørsholm",544,51,25007,204
2020-04-21,230,"Rudersdal",1184,97,56509,172
2020-04-21,240,"Egedal",1012,127,43335,293
2020-04-21,250,"Frederikssund",947,61,45332,135
2020-04-21,253,"Greve",715,67,50267,133
2020-04-21,259,"Køge",821,90,60675,148
2020-04-21,260,"Halsnæs",620,30,31271,96
2020-04-21,265,"Roskilde",1317,116,87577,132
2020-04-21,269,"Solrød",337,35,23065,152
2020-04-21,270,"Gribskov",924,53,41195,129
2020-04-21,306,"Odsherred",440,27,33122,82
2020-04-21,316,"Holbæk",1052,88,71297,123
2020-04-21,320,"Faxe",487,35,36513,96
2020-04-21,326,"Kalundborg",611,44,48681,90
2020-04-21,329,"Ringsted",414,30,34725,86
2020-04-21,330,"Slagelse",1579,243,79073,307
2020-04-21,336,"Stevns",275,17,22782,75
2020-04-21,340,"Sorø",459,47,29834,158
2020-04-21,350,"Lejre",415,37,27775,133
2020-04-21,360,"Lolland",657,52,41615,125
2020-04-21,370,"Næstved",1177,102,82991,123
2020-04-21,376,"Guldborgsund",831,48,60930,79
2020-04-21,390,"Vordingborg",556,28,45816,61
2020-04-21,400,"Bornholm",931,55,39572,139
2020-04-21,410,"Middelfart",663,38,38553,99
2020-04-21,411,"Christiansø",3,NA,90,NA
2020-04-21,420,"Assens",598,19,41212,46
2020-04-21,430,"Faaborg-Midtfyn",676,29,51809,56
2020-04-21,440,"Kerteminde",363,11,23773,46
2020-04-21,450,"Nyborg",477,32,32042,100
2020-04-21,461,"Odense",3286,150,204182,73
2020-04-21,479,"Svendborg",1132,75,58599,128
2020-04-21,480,"Nordfyns",428,13,29693,44
2020-04-21,482,"Langeland",180,NA,12560,NA
2020-04-21,492,"Ærø",74,NA,6058,NA
2020-04-21,510,"Haderslev",556,NA,55857,NA
2020-04-21,530,"Billund",313,18,26629,68
2020-04-21,540,"Sønderborg",779,12,74561,16
2020-04-21,550,"Tønder",321,12,37587,32
2020-04-21,561,"Esbjerg",1778,108,115652,93
2020-04-21,563,"Fanø",32,NA,3404,NA
2020-04-21,573,"Varde",605,14,50129,28
2020-04-21,575,"Vejen",540,22,42863,51
2020-04-21,580,"Aabenraa",787,38,59035,64
2020-04-21,607,"Fredericia",867,35,51427,68
2020-04-21,615,"Horsens",1254,34,90370,38
2020-04-21,621,"Kolding",1601,99,92893,107
2020-04-21,630,"Vejle",1801,71,114830,62
2020-04-21,657,"Herning",1470,211,88917,237
2020-04-21,661,"Holstebro",1360,200,58504,342
2020-04-21,665,"Lemvig",217,19,19998,95
2020-04-21,671,"Struer",284,28,21143,132
2020-04-21,706,"Syddjurs",592,13,42768,30
2020-04-21,707,"Norddjurs",449,NA,37680,NA
2020-04-21,710,"Favrskov",596,24,48374,50
2020-04-21,727,"Odder",295,NA,22675,NA
2020-04-21,730,"Randers",1143,23,97909,23
2020-04-21,740,"Silkeborg",1365,95,93054,102
2020-04-21,741,"Samsø",46,NA,3684,NA
2020-04-21,746,"Skanderborg",937,47,61974,76
2020-04-21,751,"Aarhus",5667,302,345332,87
2020-04-21,756,"Ikast-Brande",485,36,41282,87
2020-04-21,760,"Ringkøbing-Skjern",609,57,56930,100
2020-04-21,766,"Hedensted",538,13,46747,28
2020-04-21,773,"Morsø",331,14,20403,69
2020-04-21,779,"Skive",523,31,46224,67
2020-04-21,787,"Thisted",656,30,43660,69
2020-04-21,791,"Viborg",1237,69,97113,71
2020-04-21,810,"Brønderslev",626,34,36370,93
2020-04-21,813,"Frederikshavn",657,13,59987,22
2020-04-21,820,"Vesthimmerlands",654,43,37121,116
2020-04-21,825,"Læsø",13,NA,1806,NA
2020-04-21,840,"Rebild",446,11,29916,37
2020-04-21,846,"Mariagerfjord",607,26,42055,62
2020-04-21,849,"Jammerbugt",587,19,38460,49
2020-04-21,851,"Aalborg",3327,133,215312,62
2020-04-21,860,"Hjørring",938,23,64665,36
2020-04-22,101,"København",15367,1569,623404,252
2020-04-22,147,"Frederiksberg",2648,299,103960,288
2020-04-22,151,"Ballerup",1350,133,48458,274
2020-04-22,153,"Brøndby",888,109,35397,308
2020-04-22,155,"Dragør",297,23,14270,161
2020-04-22,157,"Gentofte",1802,188,75176,250
2020-04-22,159,"Gladsaxe",1735,178,69681,255
2020-04-22,161,"Glostrup",694,101,22615,447
2020-04-22,163,"Herlev",750,82,28786,285
2020-04-22,165,"Albertslund",787,96,27877,344
2020-04-22,167,"Hvidovre",1484,193,53416,361
2020-04-22,169,"Høje-Taastrup",1095,113,50686,223
2020-04-22,173,"Lyngby-Taarbæk",1341,109,55790,195
2020-04-22,175,"Rødovre",1003,105,40052,262
2020-04-22,183,"Ishøj",556,67,22946,292
2020-04-22,185,"Tårnby",951,69,42984,161
2020-04-22,187,"Vallensbæk",449,73,16654,438
2020-04-22,190,"Furesø",912,57,41069,139
2020-04-22,201,"Allerød",524,21,25646,82
2020-04-22,210,"Fredensborg",850,36,40819,88
2020-04-22,217,"Helsingør",1468,96,62567,153
2020-04-22,219,"Hillerød",1149,77,50998,151
2020-04-22,223,"Hørsholm",575,52,25007,208
2020-04-22,230,"Rudersdal",1270,102,56509,181
